品牌/Brand,車型/Model,資訊/Info,年份/Year,冷媒/Refrigerant,冷媒量/Amount (g),冷凍油/Oil (cc)
車型 / Car model /  Car model,5 SERIES (E34) / 5 SERIES (E34),Seiko / flat pipe / Seiko / flat pipe,1993 - 1996,R134a,1450,185 ± 5
車型 / Car model /  Car model,5 SERIES (E34) / 5 SERIES (E34), / ,1987 - 1993,R12 → R134a,1925 ± 25,200 ± 10
車型 / Car model /  Car model,5 SERIES (E34)M5/524TD/525TD/TDS / 5 SERIES (E34)M5/524TD/525TD/TDS, / ,1987 - 1993,R12 → R134a,1500 ± 25,200 ± 10
車型 / Car model /  Car model,5 Series E39 / 5 Series E39, / ,1996 - 1998,R134a,1200 ± 30,180 ± 20
車型 / Car model /  Car model,5 Series E39 / 5 Series E39, / ,1998 - 2003,R134a,730 ± 20,150 ± 10
車型 / Car model /  Car model,5 Series 525 td/tds E39 / 5 Series 525 td/tds E39, / ,1996 - 1998,R134a,1150 ± 30,180 ± 20
車型 / Car model /  Car model,5 Series 525 td/tds E39 / 5 Series 525 td/tds E39, / ,1998 - 2003,R134a,1250 ± 30,180 ± 20
車型 / Car model /  Car model,5 Series 530d E39 / 5 Series 530d E39, / ,1998 - 2003,R134a,680 ± 20,130 ± 10
車型 / Car model /  Car model,5 Series E60/E61 / 5 Series E60/E61, / ,2003 - 2010,R134a,810 ± 20,150 ± 10
車型 / Car model /  Car model,5 Series E60/E61 Diesel / 5 Series E60/E61 Diesel, / ,2003 - 2010,R134a,710 ± 20,130 ± 10
車型 / Car model /  Car model,5 SERIES (F10/F11) / 5 SERIES (F10/F11), / ,2010 -,R134a,850 ± 10,見規格 / See Spec
車型 / Car model /  Car model,6 Series E24 / 6 Series E24, / ,1976 - 1989,R12 → R134a,1100 ± 25,200
車型 / Car model /  Car model,6 Series E24 / 6 Series E24,With rear AC / With rear AC,1976 - 1989,R12 → R134a,1800 ± 25,200
車型 / Car model /  Car model,6 Series E63/E64 / 6 Series E63/E64, / ,2004 - 2011,R134a,810 ± 10,180 ± 10
車型 / Car model /  Car model,6 Series F12/F13 / 6 Series F12/F13, / ,2011 -,R134a,850 ± 10,見規格 / See Spec
車型 / Car model /  Car model,7 Series E32 / 7 Series E32, / ,1986 - 1993,R12 → R134a,1925 ± 25,200
車型 / Car model /  Car model,7 Series E32 / 7 Series E32,With rear AC / With rear AC,1986 - 1993,R12 → R134a,2075 ± 25,200
車型 / Car model /  Car model,7 Series E32 / 7 Series E32,Denso / Denso,1993 - 1994,R134a,1550 ± 25,175 ± 15
車型 / Car model /  Car model,7 Series E32 / 7 Series E32,Seiko / Seiko,1993 - 1994,R134a,1550 ± 25,180 ± 20
車型 / Car model /  Car model,7 Series E32 / 7 Series E32,Denso/ With rear AC / Denso/ With rear AC,1993 - 1994,R134a,1700 ± 25,195 ± 15
車型 / Car model /  Car model,7 Series E32 / 7 Series E32,Seiko/With rear AC / Seiko/With rear AC,1993 - 1994,R134a,1700 ± 25,180 ± 20
車型 / Car model /  Car model,7 Series E38 / 7 Series E38,Seiko / Seiko,1994 - 1998,R134a,1210 ± 25,155 ± 25
車型 / Car model /  Car model,7 Series E38 / 7 Series E38,Seiko / Seiko,1998 - 2002,R134a,680 ± 10,155 ± 25
車型 / Car model /  Car model,7 Series E38  725TDS / 7 Series E38  725TDS,Seiko / Seiko,1996 - 2002,R134a,1210 ± 25,155 ± 25
